date,ticker,iv_reference,target_day_to_expiration,target_moneyness,n_fitted_expiries
2021-09-24,AAPL,0.15052008357640895,30,1.0,19
2021-09-27,AAPL,0.24467007319905187,30,1.0,19
2021-09-28,AAPL,0.2781740886361394,30,1.0,19
2021-09-29,AAPL,0.26647476807936643,30,1.0,19
2021-09-30,AAPL,0.2298001765790429,30,1.0,20
2021-10-01,AAPL,0.24755712236746683,30,1.0,19
2021-10-04,AAPL,0.20739565180525446,30,1.0,19
2021-10-05,AAPL,0.24309197039814862,30,1.0,19
2021-10-06,AAPL,0.1417360439779886,30,1.0,19
2021-10-07,AAPL,0.2392238776452732,30,1.0,20
2021-10-08,AAPL,0.20188318550148784,30,1.0,19
2021-10-11,AAPL,0.19430865111650086,30,1.0,19
2021-10-12,AAPL,0.2416212824544801,30,1.0,19
2021-10-13,AAPL,0.23302850605951567,30,1.0,19
2021-10-14,AAPL,0.16057357815103332,30,1.0,19
2021-10-15,AAPL,0.20290762701753018,30,1.0,18
2021-10-18,AAPL,0.22722869928965794,30,1.0,18
2021-10-19,AAPL,0.19163974095143832,30,1.0,18
2021-10-20,AAPL,0.20800118706195142,30,1.0,18
2021-10-21,AAPL,0.245263604059137,30,1.0,19
2021-10-22,AAPL,0.44630674573490675,30,1.0,18
2021-10-25,AAPL,0.17602547952025763,30,1.0,18
2021-10-26,AAPL,0.14860460258240013,30,1.0,18
2021-10-27,AAPL,0.12145411422906145,30,1.0,18
2021-10-28,AAPL,0.1391249464616491,30,1.0,19
2021-10-29,AAPL,0.2080073800133483,30,1.0,19
2021-11-01,AAPL,0.26299650483745235,30,1.0,19
2021-11-02,AAPL,0.278194082387294,30,1.0,19
2021-11-03,AAPL,0.2908153136618523,30,1.0,19
2021-11-04,AAPL,0.14654699549882033,30,1.0,20
2021-11-05,AAPL,0.1425855020622452,30,1.0,19
2021-11-08,AAPL,0.22505585965787106,30,1.0,19
2021-11-09,AAPL,0.12854223587414898,30,1.0,19
2021-11-10,AAPL,0.10142134087416362,30,1.0,19
2021-11-11,AAPL,0.20305592288300747,30,1.0,20
2021-11-12,AAPL,0.09681419356492892,30,1.0,19
2021-11-15,AAPL,0.1593376556665494,30,1.0,19
2021-11-16,AAPL,0.1428389038234385,30,1.0,19
2021-11-17,AAPL,0.12735487013531557,30,1.0,19
2021-11-18,AAPL,0.14791089860015202,30,1.0,20
2021-11-19,AAPL,0.17984027813562678,30,1.0,19
2021-11-22,AAPL,0.18783710905215611,30,1.0,19
2021-11-23,AAPL,0.13356644399319414,30,1.0,19
2021-11-24,AAPL,0.12780646206041385,30,1.0,20
2021-11-26,AAPL,0.25009356967740753,30,1.0,19
2021-11-29,AAPL,0.15947054401767358,30,1.0,19
2021-11-30,AAPL,0.23380825982395137,30,1.0,19
2021-12-01,AAPL,0.22550806609896804,30,1.0,19
2021-12-02,AAPL,0.23775404496133343,30,1.0,20
2021-12-03,AAPL,0.2606094089203333,30,1.0,19
2021-12-06,AAPL,0.22644950776219516,30,1.0,19
2021-12-07,AAPL,0.14770552752656982,30,1.0,19
2021-12-08,AAPL,0.2484245715158374,30,1.0,19
2021-12-09,AAPL,0.23855632838339316,30,1.0,20
2021-12-10,AAPL,0.22471983482647193,30,1.0,19
2021-12-13,AAPL,0.28304144723317454,30,1.0,19
2021-12-14,AAPL,0.2804619570361765,30,1.0,19
2021-12-15,AAPL,0.25360797136075,30,1.0,19
2021-12-16,AAPL,0.28061864833216393,30,1.0,19
2021-12-17,AAPL,0.2647549565170346,30,1.0,18
2021-12-20,AAPL,0.188433140949725,30,1.0,18
2021-12-21,AAPL,0.16240998065225493,30,1.0,18
2021-12-22,AAPL,0.1610353002928517,30,1.0,18
2021-12-23,AAPL,0.21293597274377515,30,1.0,18
2021-12-27,AAPL,0.265737779207436,30,1.0,18
2021-12-28,AAPL,0.25262823620625646,30,1.0,18
2021-12-29,AAPL,0.26121561339195704,30,1.0,18
2021-12-30,AAPL,0.24518073236038485,30,1.0,19
2021-12-31,AAPL,0.2276153292436037,30,1.0,18
2022-01-03,AAPL,0.22038364920576925,30,1.0,18
2022-01-04,AAPL,0.14864644995181467,30,1.0,18
2022-01-05,AAPL,0.2728619795635059,30,1.0,18
2022-01-06,AAPL,0.2137431586074681,30,1.0,21
2022-01-07,AAPL,0.2459145209927034,30,1.0,20
2022-01-10,AAPL,0.252675007291077,30,1.0,20
2022-01-11,AAPL,0.2048005353909833,30,1.0,20
2022-01-12,AAPL,0.19033683534214046,30,1.0,20
2022-01-13,AAPL,0.22466936085415704,30,1.0,21
2022-01-14,AAPL,0.1781295290864169,30,1.0,20
2022-01-17,AAPL,0.2051396606067616,30,1.0,20
2022-01-18,AAPL,0.23114251043477752,30,1.0,20
2022-01-19,AAPL,0.20087225814839882,30,1.0,21
